ra	dec
1.433634195098929354e+02	6.211072558263861509e-01
1.316301822463605049e+02	3.353912103688126312e+00
1.248859643861178483e+02	3.871989948473841259e-01
1.305815993562615631e+02	1.960949267655250239e+00
1.198650422885023090e+02	1.124136187783139817e+01
1.178681674967614867e+02	5.127333380998468471e+00
1.219385096612386832e+02	3.928168710874913483e+00
1.389676475743568176e+02	8.856020606483632207e+00
1.412739400175510696e+02	1.610060430244059049e+01
1.297876802161986802e+02	1.570507993556486959e+01
1.174638745976528611e+02	3.260200305944720434e+00
1.151392158958755658e+02	7.467615958421313316e+00
1.157112426180175646e+02	1.610460528784645007e+01
1.532702261240300459e+02	3.122039308883801212e+00
1.357264500767300888e+02	6.360039792588888297e+00
1.360479258556242428e+02	3.395792940261884940e+00
1.242488693024967006e+02	1.685795709002982701e+00
1.164703494976964322e+02	1.233662553072424828e+01
1.325701238028824207e+02	1.064527140118658011e+00
1.444949652946370122e+02	1.099816292364100256e+01
1.264480203308041411e+02	1.333553470140448338e+00
1.480060781971927497e+02	9.602406713473135014e+00
1.395606032994905377e+02	1.295254385343212533e+01
1.294416516253378120e+02	8.145523438938914174e-01
1.190170566061994322e+02	4.587702313964356904e-01
1.357468407781544499e+02	4.466394307049057488e-01
1.358554136638308592e+02	7.624462725320552359e+00
1.205271535627870065e+02	1.372808931754115225e+00
1.394411599368727650e+02	1.643540125039416466e+01
1.249104236814500126e+02	1.695949303277249598e+01
1.386200175165415089e+02	1.357897009791057563e+01
1.476527669838833390e+02	1.223579825209688465e+01
1.405292561150945687e+02	3.654800284975155300e+00
1.146398071890259587e+02	1.162940847299024405e+01
1.201214179394945063e+02	1.176830369813935029e+01
1.489425596147450790e+02	7.396846576716106014e+00
1.249477660668522958e+02	1.509372862221001554e+01
1.330719694235122006e+02	1.115349691065732074e+01
1.268350912838238997e+02	9.476811415913520165e+00
1.159214233171121009e+02	1.220429601181533208e+01
1.458168576208412617e+02	1.414516550681286944e+01
1.463016418410545896e+02	1.383016857742664740e+01
1.335003013313973099e+02	9.120483334532931252e+00
1.131969018982114648e+02	1.104977495596217096e+01
1.405416847455318816e+02	1.163215961671620136e+01
1.352627424578580531e+02	2.877975369971768504e+00
1.325685391374510687e+02	1.629915824535438063e+01
1.281541756747518832e+02	1.421440160165281874e+01
1.233033604534303862e+02	8.495637151323739644e+00
1.491982488688547335e+02	2.813353833790712244e+00
1.347656852311081366e+02	1.196506184470657597e-01
1.285600198448823619e+02	5.118431152644757454e+00
1.463938842322351945e+02	1.412451174731992687e+01
1.428941907353872125e+02	1.644889588227460209e+01
1.537737569517804843e+02	1.796040709560828574e+01
1.230417344777543178e+02	3.406653081989611920e+00
1.496892748160221913e+02	1.398412888734116777e+01
1.361989381228647744e+02	1.485535041629634811e+01
1.200241628399541725e+02	9.508623131624903024e+00
1.144771255926297044e+02	6.038320357707091190e+00
1.346021194051659222e+02	1.349908640111348479e+00
1.474493512485868223e+02	3.351973265988259509e+00
1.508077938850706801e+02	5.202941890450128781e+00
1.137884702647494066e+02	3.359739072321986875e+00
1.440339933851508931e+02	7.626022795102768370e+00
1.208345886919783396e+02	8.838702716231029655e+00
1.190583610608275507e+02	5.747128771400432434e+00
1.365127699946016264e+02	1.394784857184658655e+01
1.496200599397695328e+02	5.294731671705654286e+00
1.250560652053325725e+02	3.111972728386531273e+00
1.494874433920015235e+02	3.412239177918430233e+00
1.294089602579567782e+02	7.799763369605011931e+00
1.402334152716942413e+02	1.453189377466227228e+01
1.459859172249180119e+02	4.992117597959045305e+00
1.363252546269029324e+02	1.541080709880354327e+01
1.279650509771452249e+02	2.862164203799499873e+00
1.392234189738848613e+02	7.135183874966346096e+00
1.233788284577365744e+02	4.793964696292912109e+00
1.152596978744083174e+02	1.432078165107564516e+01
1.193080155799075754e+02	1.382624646120207146e+01
1.413107227698247925e+02	9.973640412325627480e+00
1.145466285003520284e+02	1.255820534396020483e+00
1.359533732718027181e+02	7.770575001051779118e+00
1.334210720370054162e+02	1.081604365358794162e+01
1.343017855395810614e+02	1.650986435198598556e+01
1.215323111746414355e+02	9.311335161404068472e+00
1.480208969486784554e+02	5.472733171499380767e+00
1.539883837625025365e+02	1.252454235506198721e+01
1.529214854262171457e+02	8.896862267041157679e+00
1.197847803052022897e+02	1.432506770474282476e+01
1.344968120808049719e+02	1.619271014210630355e+01
1.433873571468352566e+02	6.209295518719922136e+00
1.187664944484567258e+02	1.043354159146269566e+01
1.272615471401931018e+02	4.739901293385584857e+00
1.464659643347006295e+02	1.692810561616459708e+01
1.153264435158836818e+02	4.232827937358393022e+00
1.303646099995291365e+02	1.261738563620056475e+01
1.145456888805244091e+02	1.051408820186614790e+01
1.336014285623197679e+02	5.541218100842576710e+00
1.258760991407690000e+02	1.146404151383960546e+01
1.251187688234597033e+02	1.578428573347388308e+01
1.520019213855527767e+02	1.670124320220377001e+01
1.499904089533214346e+02	1.232424374567790748e+00
1.486396209808833930e+02	4.748149699285792558e+00
1.389675564715819860e+02	8.754013389274817314e+00
1.382833206216016038e+02	1.638623539944365959e+01
1.280388689034285221e+02	1.346362837438740989e+01
1.448722606509815876e+02	1.144494605393115272e+01
1.366953739452268053e+02	1.188452087217584818e+01
1.539529129683033375e+02	5.189906280597065269e+00
1.381923398235466607e+02	2.946256584194187678e+00
1.308804674224262499e+02	7.080606636583424596e+00
1.493052765452749213e+02	1.544582143931522111e+01
1.300672928013330250e+02	1.664224098375616023e+01
1.148107833712561501e+02	4.154396917009954393e+00
1.358825081481780614e+02	1.457540319585187483e+01
1.449000141016497594e+02	1.419669998054761173e+01
1.390610936022013107e+02	1.666855050092936352e+01
1.415238908632626362e+02	7.432657853146726445e+00
1.178246318026322825e+02	4.264417544097549584e-01
1.150932110685245959e+02	1.018521414780505197e+01
1.257470713888008618e+02	5.868784827286952499e+00
1.540323278650959651e+02	4.211544410429308161e-01
1.207380280638692511e+02	9.728385429631879688e+00
1.331091492768786679e+02	1.262297306304051148e+01
1.491439471535997257e+02	2.412313568352926207e+00
1.432696029747476985e+02	1.190216126452750522e+01
1.453239447872095411e+02	1.714456242199964464e+01
1.313294470385303043e+02	5.403947768254150352e-01
1.419725814706935125e+02	1.774297048883594741e+01
1.398537965172642430e+02	6.727640247838209575e+00
1.317819121043438315e+02	3.341667492645176818e+00
1.333304183938539609e+02	8.956971054005700594e+00
1.306082221854830721e+02	6.167301234174885849e+00
1.441364516871816761e+02	2.687013779754817477e+00
1.429481619505858419e+02	8.162226097734070152e+00
1.144072836660270553e+02	3.619522006275891268e+00
1.284925495529576267e+02	2.662941865574516509e+00
1.503205576623183219e+02	4.669681094716287895e+00
1.498119999318698774e+02	9.269397947063543697e+00
1.485826887220725041e+02	1.266749658151439739e+01
1.186195809060265702e+02	1.590011713296614992e+01
1.239054169362917577e+02	1.894303450145996992e+00
1.392236158598569489e+02	1.115121480363649731e+01
1.178055720903449810e+02	1.430684276075145256e+01
1.355916310770842870e+02	8.085716600446350100e+00
1.339008319605605095e+02	6.019322702516548773e+00
1.333804613344598522e+02	1.428704208805279841e+01
1.466079867690096989e+02	1.622043355000834097e+01
1.436068004287330950e+02	2.441858672243427009e+00
1.411982036999766876e+02	1.286432377688772277e+01
1.145276762252292428e+02	7.369452899824533887e+00
1.484831337388993688e+02	4.201304677020945455e+00
1.329160442854741007e+02	1.660393624960002157e+01
1.227419255140200960e+02	7.244883578557557158e+00
1.435976772949768474e+02	1.932194416435023987e+00
1.144297046319854587e+02	3.656256920709881619e+00
