ra	dec
1.180993848753494007e+02	2.506902133449899761e+00
1.221994121466853755e+02	1.799047111380079755e+01
1.303208513145942504e+02	1.102007679172822741e+01
1.280118438146078859e+02	2.787069755925341230e+00
1.173394561285318360e+02	1.455192701348715545e+01
1.334334421862439513e+02	1.256172633177187947e+01
1.498799453058094002e+02	1.632479877917497291e+01
1.233932100474990534e+02	8.719142705450405373e+00
1.544955164977944833e+02	8.095378818696715939e+00
1.291511329010898805e+02	1.613501754803865040e+01
1.504362571907734321e+02	9.993238014711998574e+00
1.492146697786085383e+02	1.748001418638636295e+01
1.330225611061243853e+02	3.631420493447120590e-01
1.253395502702785365e+02	1.151312505947961995e+01
1.164685862167272319e+02	1.177818243127297393e+01
1.428867520957530530e+02	1.392428883998158895e+01
1.289662190990564454e+02	7.269776463940642586e-01
1.188809014328569873e+02	1.249381967833734208e+01
1.264311166664051029e+02	1.025183935754581555e+01
1.529546763565612650e+02	3.358875724577730537e+00
1.308956883400583990e+02	1.513959444092459705e+01
1.284331309732968975e+02	9.586680610979737338e+00
1.467266791611469330e+02	1.221251654897363426e-01
1.362725790701070139e+02	3.149765052641856578e+00
1.527821769324097261e+02	1.375234430369698835e+01
1.217016399471086174e+02	1.400010441710813858e+01
1.413264165456542401e+02	1.273217169179419272e+01
1.250664042626950732e+02	1.775007375508186414e+01
1.178114396176368501e+02	1.717394156465599409e+01
1.149595291020936969e+02	1.245512002913608285e+01
1.194807480610212451e+02	1.308728038374343505e+01
1.239345172571682951e+02	1.433406124680162641e+01
1.485621533240317831e+02	1.657378166190966784e+00
1.361430394845031060e+02	8.519663149905852606e+00
1.368380307150085287e+02	1.325096729332287637e+01
1.244784923256481477e+02	1.479398213601067091e+01
1.483416696968936606e+02	1.474519385299423391e+01
1.286582248068069134e+02	2.880362286812728101e+00
1.238868299586213340e+02	1.923661040373870534e+00
1.376620929406336131e+02	1.686537183489110348e+01
1.306655006893582254e+02	4.889808577357539932e+00
1.547405474387452671e+02	1.420735474978227231e+01
1.448333127945781484e+02	1.008852563535193880e+01
1.348667130369285587e+02	1.230845774605058018e+01
1.261081781949738314e+02	6.741700244547969234e+00
1.196991735445456868e+02	1.148799608898695901e+01
1.468378615681963311e+02	4.710868564432075800e+00
1.370938716883039490e+02	1.491346249430696957e+01
1.258377837407907975e+02	1.754067132691381303e+01
1.423854717802441314e+02	9.472338677493863379e-01
1.217296422718819144e+02	3.474780397452418512e+00
1.435918716839341585e+02	1.523422423806492532e+01
1.492766453831308127e+02	1.774939559424486646e+01
1.134743444055724666e+02	1.115171176395735264e+00
1.163987624979657198e+02	1.540599654481202396e+00
1.242151124351473754e+02	1.568254222861462033e+01
1.216805688734475410e+02	1.785538006849728987e+01
1.204299283643854039e+02	9.331924054912077438e+00
1.451738658219302351e+02	2.999659954021805408e+00
1.318403167925091566e+02	1.316132425826008756e-01
1.506373022149838903e+02	3.872030634258539106e+00
1.239452566415179291e+02	1.350314569264875431e+01
1.274429157171868212e+02	1.034200177428824396e+01
1.411354996073003178e+02	1.056141037319994780e+01
1.507418597553811423e+02	1.647789907665482900e+01
1.330504242888880526e+02	1.614294718772147164e+01
1.285260346937651548e+02	2.732208960650415186e+00
1.521410474148918865e+02	6.789676031216465901e+00
